id,category,mood_state,sleep_state,restart_state,negative_ja,positive_ja,episode_ja,negative_en,positive_en,episode_en
23,restart,any,any,yes,空白のあとに戻ると、前より小さく感じることがあります。,それでも、小さな再開は静かに力になります。,今日は大きく進む日でなくても、戻ってきた流れを大切にしてみてください。,After a break you may feel smaller than before.,Even so a quiet return can still become strength.,It does not have to be a big day. Returning itself matters.
24,restart,low,any,yes,再開の日は、自信よりもためらいが大きいことがあります。,ためらいがあっても、ここに来たことは確かな行動です。,今日は気持ちを奮い立たせなくても、ひとつ記録できたら十分です。,On a restart day hesitation may feel bigger than confidence.,Even so showing up here is a real action.,You do not need to force energy today. One small entry is enough.
25,restart,any,any,yes,しばらく離れていたぶん、前と比べたくなることがあります。,でも比べるより、今日の自分に合う形を選ぶほうがやさしいです。,少しでも戻れたことを基準にして、今日は軽く終えても大丈夫です。,After being away it is easy to compare yourself to before.,But it may be kinder to choose what fits you today.,Let returning at all be the measure. A light day is enough.
26,restart,mid,any,yes,戻る日は、前の勢いをそのまま求めて苦しくなることがあります。,勢いがなくても、静かな再開には意味があります。,今日は前と同じではなく、今の自分に合うテンポで大丈夫です。,When you return expecting your old momentum can feel painful.,Even without that energy a quiet restart still matters.,Today can move at a pace that fits who you are now.
27,restart,any,any,yes,再開には少し勇気がいるぶん、気持ちが揺れやすいことがあります。,その揺れの中でも、戻る選択をしたことは大切です。,完璧な準備がなくても、ここに来られた今日は十分価値があります。,Restarting takes a little courage so emotions may feel unsteady.,Even within that choosing to return matters.,You do not need perfect readiness for today to have value.
28,restart,low,any,yes,また始めるとき、自分の空白だけが目立って見えることがあります。,でも、空白より今日の一歩に目を向けてもよさそうです。,小さな再開を軽く見ず、今日できたこととして受け取ってみてください。,When you begin again the gap may feel louder than anything else.,But it may help to look at today’s step instead.,Try not to dismiss this small return. It counts.
29,restart,any,any,yes,戻る日は、前より慎重になりすぎることがあります。,慎重さは悪いことではなく、丁寧に戻ろうとしている証でもあります。,急がず、続けやすい小ささで始める形を選んで大丈夫です。,A return day can make you extra cautious.,That caution is not a flaw. It can mean you are trying to come back carefully.,You are allowed to start in a small sustainable way.
30,restart,mid,any,yes,久しぶりの日は、気持ちが整う前に行動だけが先になることもあります。,それでも、その行動はちゃんと意味を持っています。,今日は気分が乗らなくても、来られたことをそのまま一歩にして大丈夫です。,On days like this action may come before your feelings catch up.,Even so that action still means something.,Even without strong motivation showing up today is enough.
31,rest,any,low,any,眠れないあとは、心も身体も少し乱れやすくなります。,そんな日は、うまく回らない部分があっても自然です。,今日は整えることを優先して、できることだけで十分だと思って大丈夫です。,After poor sleep both mind and body can feel unsettled.,On a day like that it is natural if things do not flow well.,It is okay to focus on steadying yourself and do only what you can.
32,fatigue,mid,low,any,睡眠が足りない日は、いつも通りに動けないことがあります。,それは甘えではなく、身体の正直な反応です。,今日は基準を少しやさしくして、小さく過ごせたら十分です。,When sleep is short moving as usual may be hard.,That is not laziness. It is an honest response from your body.,A softer standard for today may be exactly right.
33,rest,any,low,any,眠りが浅いと、気持ちまで削られたように感じることがあります。,そんな日は、自分への見方も少しやさしくしてよさそうです。,今日は元気にこなすことより、無理を増やさないことを大切にしてください。,Light sleep can make everything feel more worn down.,On those days it may help to look at yourself more gently.,Today avoiding extra strain may matter more than doing a lot.
34,fatigue,low,low,any,よく眠れない日は、何をするにも重たく感じることがあります。,その重さの中で過ごしているだけでも、十分に頑張っています。,今日は前に進むより、少しでも消耗を減らせたらそれで十分です。,After poor sleep everything can feel heavy.,Simply moving through that heaviness is already a lot.,If you can reduce your strain even a little today that is enough.
35,overthinking,mid,low,any,眠れなかったあとは、考えがまとまりにくいことがあります。,頭が散らかる日は、結論を急がなくて大丈夫です。,今日は大きな判断を減らして、ひとつずつ進める形でも十分です。,After little sleep thoughts may feel scattered.,On a day like that there is no need to rush to clear conclusions.,It is okay to move through today one small thing at a time.
36,anxiety,low,low,any,寝不足の日は、不安がいつもより大きく見えることがあります。,不安が大きいからといって、現実まで同じ大きさとは限りません。,今日は先のことを広げすぎず、目の前を小さく整えるだけでも大丈夫です。,On low sleep days worries can look bigger than usual.,That does not always mean reality is as large as the feeling.,Today it may help to keep your focus small and close.
37,rest,any,low,any,眠れなかった日は、回復が追いついていない感じが残ることがあります。,そんな日は、いつもと同じ速さを求めなくて大丈夫です。,少しゆるい予定にすることも、自分を整える選び方のひとつです。,After a rough night you may still feel not fully restored.,On those days you do not need to expect your usual pace.,A lighter schedule can also be a way of caring for yourself.
38,pressure,mid,low,any,睡眠が足りないのに、いつも通りやらなければと思うと苦しくなります。,でも今日は、少し基準を下げるほうが長い目では助けになります。,全部を保とうとせず、必要なものを小さく選ぶだけでも十分です。,It can feel painful to expect your usual output after little sleep.,Today lowering the bar a little may help more in the long run.,You do not need to hold everything together. A few essentials are enough.
39,fatigue,any,low,any,眠れていない日は、身体の声が先に出やすくなります。,その声を無視しないことも、大切な整え方のひとつです。,今日は少し立ち止まる時間を入れながら進めても大丈夫です。,On days without enough sleep your body may speak more loudly.,Listening to that is also a form of care.,It is okay to build small pauses into today.
40,rest,mid,low,any,寝不足の日は、気持ちまで狭くなったように感じることがあります。,そんな日は、できないことより消耗していることを先に思い出して大丈夫です。,今日はうまくやることより、自分をすり減らしすぎないことを大切にしてください。,Poor sleep can make your inner world feel smaller.,On those days it helps to remember your exhaustion before judging yourself.,Protecting your energy may matter more than doing things well today.
41,self_blame,low,any,any,気持ちが沈む日は、自分の足りないところばかりが見えやすくなります。,でも、その見え方は今のつらさに強く引っぱられていることがあります。,今日は評価を急がず、少し楽な見方をひとつ選べたら十分です。,On low mood days your flaws can seem louder than everything else.,But that view may be shaped by the weight you are carrying.,Today it is enough to delay judgment and choose one gentler view.
42,low_confidence,low,any,any,元気がないと、自分の力まで小さく感じることがあります。,それでも、力そのものが消えたわけではありません。,今日は大きく証明しなくても、無理の少ない一歩があれば十分です。,When your mood is low your strength can feel smaller too.,Even so your strength itself has not disappeared.,You do not need to prove much today. One gentle step is enough.
43,anxiety,low,any,any,気分が沈んでいる日は、この先もずっと同じように感じてしまうことがあります。,けれど、気持ちは少しずつ動いていくこともあります。,今日は先を決めつけず、今を静かにやり過ごすだけでも十分です。,On low mood days it can seem like things will stay this way forever.,But feelings do shift often little by little.,Today it is enough not to decide the whole future from this moment.
44,self_blame,low,any,any,つらい日は、自分にだけ厳しい言葉を向けやすくなります。,そんな日は、まず言葉の強さを少し下げるだけでも意味があります。,すぐ前向きになれなくても、自分を責めすぎない一日にできたら十分です。,Painful days can make your inner voice especially harsh.,On those days softening that voice a little already matters.,You do not need to become positive today. Not being too hard on yourself is enough.
45,lonely,low,any,any,気持ちが低い日は、ひとりの感じがいつもより深くなることがあります。,でも、その静けさの中で少し休める瞬間が見つかることもあります。,今日は無理に明るくならず、少し安心できる時間を探せたら十分です。,Low days can make loneliness feel deeper than usual.,Even so small moments of ease can still exist in quietness.,You do not need to brighten up today. Finding one small safe moment is enough.
46,comparison,low,any,any,落ち込む日は、人と比べたときの差が大きく見えやすくなります。,でも比べる相手が見せているのは、その人の一部だけかもしれません。,今日は比べるより、自分が少し楽になるほうを選べたら十分です。,When your mood is low the distance between you and others can feel huge.,But what you see of others may only be one part of their life.,Today choosing what eases you matters more than comparing.
47,low_confidence,low,any,any,元気がない日は、できたことまで小さく見えてしまうことがあります。,それでも、小さく見えているだけで意味がないわけではありません。,今日は大きく評価しなくても、ひとつできたことを残せたら十分です。,On low mood days even what you did well may look small.,But small does not mean meaningless.,You do not need a big sense of achievement today. One real step is enough.
48,anxiety,low,any,any,気分が落ちると、未来の不安が広がりやすくなります。,そんな日は、未来を全部考えなくて大丈夫です。,今日の終わりまでを静かに過ごせたら、それだけでも十分な日があります。,When your mood drops future worries can spread quickly.,On those days you do not need to think through everything ahead.,Sometimes getting gently through today is enough.
49,self_blame,low,any,any,気持ちが低い日は、いつもの失敗まで強く思い出しやすくなります。,でも、思い出す強さと事実の重さは同じとは限りません。,今日は過去の整理より、今の負担を少し軽くすることを優先して大丈夫です。,Low moods can make old mistakes feel freshly heavy.,But the intensity of memory is not always the same as reality.,Today easing your present burden may matter more than reviewing the past.
50,rest,low,any,any,落ち込んでいる日は、休んでも回復していないように感じることがあります。,それでも、休みが無意味というわけではありません。,今日は回復を急がず、少し消耗を減らせたらそれで十分です。,On low days rest may not feel effective right away.,Even so that does not mean it is useless.,You do not need to rush recovery. Reducing strain a little is enough.
51,rest,any,any,any,毎日が同じように見えても、心と身体の調子は少しずつ変わっています。,その変化に気づこうとすること自体が、やさしい整え方のひとつです。,今日は無理の少ない形を選べたら、それだけでも十分です。,Even when days look similar your mind and body still keep changing.,Noticing that change is already a gentle way of caring for yourself.,If you can choose the least straining shape for today that is enough.
52,overthinking,mid,any,any,考えが多い日は、動く前から疲れてしまうことがあります。,そんな日は、全部の整理を目指さなくても大丈夫です。,今日はひとつだけ済ませるつもりで進めても十分です。,On busy thinking days you may feel tired before you even start.,You do not need to sort everything out.,It is enough to move through one thing at a time.
53,pressure,mid,any,any,やることが多い日は、自分の余白がなくなったように感じることがあります。,でも、少し余白を残すほうが整いやすい日もあります。,今日は全部を埋めず、少し呼吸できる形を残して大丈夫です。,When there is too much to do your inner space can disappear.,Still some days go better when a little room is left open.,You do not have to fill every space today.
54,comparison,mid,any,any,人の進み方を見て、自分だけ遅れているように感じることがあります。,でも、見えている速さだけではその人の全部はわかりません。,今日は比べるより、自分のペースを守れたら十分です。,Seeing others move quickly can make you feel behind.,But speed alone never shows the whole picture.,Today keeping your own pace is enough.
55,low_confidence,mid,any,any,自信がゆれる日は、始める前から小さくなってしまうことがあります。,それでも、小さいまま始めることにも意味があります。,今日は堂々としなくても、ひとつ動けたら十分です。,On shaky days you may feel smaller before you begin.,Even so starting small still matters.,You do not need boldness today. One movement is enough.
56,lonely,mid,any,any,静かな日は、気持ちの置き場が少なく感じることがあります。,でも、その静けさが少し休める場所になることもあります。,今日は無理ににぎやかにせず、落ち着ける時間を大事にして大丈夫です。,Quiet days can feel like there is nowhere to place your feelings.,Still quietness can also become a place to rest.,You do not need to force brightness today. A calm stretch of time is enough.
57,anxiety,mid,any,any,不安がある日は、先のことを広げすぎてしまうことがあります。,そんな日は、先を縮めて考えるだけでも少し楽になることがあります。,今日は目の前のひとつに戻れたら十分です。,On anxious days your thoughts may stretch too far ahead.,Sometimes it helps to bring your view closer in.,If you can return to one thing in front of you today that is enough.
58,rest,any,any,any,うまく進まない日は、立ち止まることに迷いが出ることがあります。,でも、立ち止まる時間があるから保てる流れもあります。,今日は止まりながら進む形でも大丈夫です。,On difficult days pausing can feel uncertain.,But some rhythms are sustained because pauses are allowed.,It is okay to move through today with pauses.
59,overthinking,any,any,any,全部をきちんと考えようとすると、心が先に疲れることがあります。,そんな日は、答えを急がないことも整え方のひとつです。,今日は決めきれないままでも、少し休ませる方向を選んで大丈夫です。,Trying to think everything through can tire your mind first.,On those days not rushing the answer can also be a way to care for yourself.,It is okay if today stays a little unresolved.
60,rest,any,any,any,今日は特別なことがなくても、静かに過ごせたならそれにも意味があります。,目立たない一日が、心と身体を支えることもあります。,大きな変化がなくても、今日は今日のままで十分です。,Even if nothing special happens today a quiet day still has meaning.,Unremarkable days can support your mind and body too.,Even without a big change today can be enough as it is.
61,restart,any,any,yes,また戻る日は少し身構えてしまうことがあります。,それでも今日ここに来られたことは小さく確かな行動です。,全部を整えようとせず今日は短く残せたら十分です。,Coming back can make you tense a little.,Still showing up today is a small and real action.,You do not need to fix everything. A brief entry today is enough.
62,restart,low,any,yes,空白のあとでは自分に厳しい目を向けやすくなります。,でも戻ろうと思えた気持ちは責めるより大切にしてよさそうです。,今日は反省よりもここに来られたことを静かに受け取ってみてください。,After a gap it is easy to judge yourself harshly.,But the wish to return is worth more than blame.,Today try to receive the fact that you came back.
63,restart,any,any,yes,再開の日は前と同じようにやらなければと思いやすいです。,けれど今の自分に合う形で戻るほうが続きやすいこともあります。,今日は軽い形で置いていくくらいでも十分です。,A restart day can bring pressure to do it like before.,But returning in a way that fits you now may last longer.,A light step today is enough.
64,restart,mid,any,yes,久しぶりに開く日は少し落ち着かないことがあります。,その落ち着かなさがあっても戻ってきたこと自体に意味があります。,今日は先を急がず今日の分だけ残せたら大丈夫です。,Opening this after time away can feel uneasy.,Even so coming back itself has meaning.,You only need to leave today’s small piece.
65,restart,any,any,yes,また始める日は空白の長さばかり目立つことがあります。,でも今日の一歩に目を向けると流れは少し戻りやすくなります。,今日は短くても戻れたことを大事にしてみてください。,A return day can make the gap feel louder than anything else.,But looking at today’s step can gently bring the rhythm back.,Even a short return matters.
66,restart,low,any,yes,再開しようとすると恥ずかしさが混じることがあります。,それでも戻りたいと思えたことはやさしい力のひとつです。,今日は自分を責めるより戻れたことを認めて大丈夫です。,Restarting can come with a little embarrassment.,Still the wish to return is a kind kind of strength.,Today it is okay to notice that you came back.
67,restart,any,any,yes,戻る日はやる気よりためらいが先に出ることがあります。,ためらいがあっても来られたことは十分に行動です。,今日は勢いよりも続けやすさを優先して大丈夫です。,On return days hesitation may come before energy.,Even so showing up is already action.,Today it is okay to choose what feels sustainable.
68,restart,mid,any,yes,しばらく空くと前の流れにすぐ戻れないことがあります。,それは自然なことで急いで元通りにしなくても大丈夫です。,今日は今の自分に合う速さで始めてみてください。,After time away it may be hard to slip back into the old rhythm.,That is natural and there is no need to rush back.,Begin at the speed that fits you today.
69,restart,any,any,yes,空いたあとに戻る日は前より慎重になりやすいです。,その慎重さは丁寧に戻ろうとしている証でもあります。,今日は小さく始める形を選んで大丈夫です。,After a gap you may become more cautious than before.,That caution can also mean you are returning carefully.,It is okay to begin in a small way.
70,restart,low,any,yes,また止まるのではと思うと最初の一歩が重くなります。,それでも一歩目を小さくすると戻りやすくなることがあります。,今日は短く終えても再開として十分です。,If you fear stopping again the first step can feel heavy.,Still making that first step small can help you return.,A short day can still count as a restart.
71,restart,any,any,yes,再開の日は前の空白を埋めたくなることがあります。,でも過去を埋めるより今日を置いていくほうがやさしいこともあります。,今日は今日の分だけで十分だと思って大丈夫です。,On restart days you may want to fill the whole gap.,But it can be kinder to place down only today.,Today alone is enough.
72,restart,mid,any,yes,久しぶりに戻ると前より小さく感じることがあります。,それでも小さな再開は静かに力になります。,今日は大きく進まず戻れたことを大切にしてください。,After time away you may feel smaller than before.,Even so a small return can quietly become strength.,Let today be about returning rather than pushing far.
73,restart,any,any,yes,また始める日はうまくできるかが気になりやすいです。,でもうまくやることより戻ってきたことのほうが大切です。,短い言葉でも今日の記録として十分意味があります。,A new start can make you worry about doing it well.,But coming back matters more than doing it perfectly.,A few words today are enough.
74,restart,low,any,yes,再開の日には前の失敗を思い出しやすくなります。,けれど今日はその続きだけではなく新しい一日でもあります。,全部を背負わず今日の分だけ残して大丈夫です。,A restart can bring back memories of past failures.,But today is also a new day and not only a continuation of that pain.,You only need to leave today’s small piece.
75,restart,any,any,yes,戻る日は自分だけ遅れているように感じることがあります。,でも今日ここに来た歩みはちゃんとあなたのものです。,比べるより今日の一歩を受け取れたら十分です。,A return day can make you feel behind.,But the step you took to come here is still yours.,It is enough to receive today’s step without comparison.
76,restart,mid,any,yes,空白のあとでは前の勢いをそのまま求めて苦しくなることがあります。,勢いがなくても静かな再開には意味があります。,今日は軽く始めて終えられたら大丈夫です。,After a gap expecting your old momentum can hurt.,Even without that energy a quiet return still matters.,A light beginning today is enough.
77,restart,any,any,yes,戻ってくる日は少し勇気を使うぶん気持ちが揺れやすいです。,その揺れの中で戻る選択をしたことは大切です。,今日は完璧よりも来られたことを一歩にしてみてください。,Coming back takes a little courage so emotions may wobble.,Choosing to return within that wobble still matters.,Today let showing up count as your step.
78,restart,low,any,yes,再開しようとすると前より自信が小さく感じることがあります。,でも自信が十分でなくても戻ることはできます。,今日はひとつ残せたらそれで十分な再開です。,Restarting can make confidence feel smaller than before.,But you can return even without full confidence.,One small entry today is enough for a restart.
79,restart,any,any,yes,また開けた日は前より丁寧にやりたくなることがあります。,その丁寧さが続けやすさにつながることもあります。,今日は急がず軽い形で置いていって大丈夫です。,When you return you may want to be more careful than before.,That carefulness can support staying with it.,It is okay to move gently today.
80,restart,mid,any,yes,空白のあとは前の自分と比べやすくなります。,でも今の自分に合う形で戻ることにもちゃんと価値があります。,今日は今のペースに合う短さで大丈夫です。,After a gap it is easy to compare yourself to your past self.,But returning in a way that fits you now still has value.,A short pace today is enough.
81,restart,any,any,yes,再開の日は少し身軽に戻るほうが続けやすいことがあります。,全部を取り戻そうとしないほうが心も楽になります。,今日は短く置いて終えるだけでも大丈夫です。,A lighter return can sometimes be easier to keep going.,Not trying to recover everything at once can ease your mind.,It is okay to leave only a short note today.
82,restart,low,any,yes,また止まったらどうしようと考えると戻りにくくなります。,それでも今日戻れたことは次につながる小さな土台になります。,今日は先の心配より今ここに来たことを見てみてください。,Worrying about stopping again can make it harder to return.,Still coming back today builds a small base for next time.,Try to notice that you arrived here today.
83,restart,any,any,yes,戻る日は気持ちが整う前に行動だけが先になることもあります。,その行動にもちゃんと意味があります。,今日は気分が乗らなくても来られたことを大切にしてください。,On return days action may arrive before your feelings do.,That action still carries meaning.,Even without much motivation showing up matters today.
84,restart,mid,any,yes,久しぶりの日は前より静かに始めたくなることがあります。,静かな再開でも流れは少しずつ戻っていきます。,今日は小さな形で再開できたら十分です。,After time away you may want a quieter start.,A quiet restart can still bring the rhythm back little by little.,A small return today is enough.
85,rest,any,low,any,眠れないあとは身体だけでなく気持ちも揺れやすくなります。,そんな日はいつも通りにできなくても自然です。,今日は整えることを優先して大丈夫です。,After poor sleep both body and feelings can become unsteady.,On days like that it is natural not to function as usual.,Today it is okay to focus on steadying yourself.
86,fatigue,mid,low,any,寝不足の日は何をするにも少し重たく感じることがあります。,その重さの中で過ごしているだけでも負荷はあります。,今日は消耗を増やさないことを大切にしてください。,On low sleep days everything can feel a little heavy.,Moving through that heaviness already takes effort.,Today try to avoid adding more strain.
87,rest,any,low,any,眠りが浅いと心まで削られたように感じることがあります。,そんな日は自分への基準も少しやわらかくしてよさそうです。,今日は小さく進めたら十分です。,Light sleep can make your mind feel worn down too.,On days like that a softer standard may help.,A small pace today is enough.
88,anxiety,low,low,any,寝不足のときは不安がいつもより大きく見えることがあります。,不安の大きさと現実の大きさが同じとは限りません。,今日は先を広げすぎず目の前を小さく整えるだけでも大丈夫です。,When sleep is short worries can look larger than usual.,The size of worry is not always the size of reality.,Today it is enough to keep your focus small and near.
89,fatigue,mid,low,any,睡眠が足りない日は集中がまとまりにくいことがあります。,そんな日は結論を急がないほうが楽なこともあります。,今日はひとつずつ進める形で十分です。,When sleep is low focus may not come together easily.,On those days it can help not to rush for clear conclusions.,Moving one thing at a time is enough today.
90,rest,any,low,any,眠れていない日はいつもの速さを求めると苦しくなります。,でも今日は少しゆるい基準のほうが合うこともあります。,無理を増やさない一日にできたら十分です。,After little sleep expecting your usual pace can hurt.,A gentler standard may fit today better.,It is enough if today does not add more strain.
91,pressure,mid,low,any,寝不足でもいつも通りやらなければと思うと心が詰まりやすいです。,でも基準を少し下げることは逃げではなく調整です。,今日は必要なものだけ選んで大丈夫です。,Trying to perform as usual while tired can tighten your mind.,Lowering the bar a little is not failure but adjustment.,Today it is okay to choose only what is needed.
92,rest,any,low,any,眠れなかった日は身体の声が大きく出やすくなります。,その声を無視しないことも大切な整え方です。,今日は小さな休みを入れながら進めてください。,After a rough night your body may speak more loudly.,Listening to that is also a way of caring for yourself.,Build a few small pauses into today.
93,fatigue,low,low,any,寝不足の日は気持ちまで狭く感じることがあります。,そんな日はできないことより消耗していることを先に思い出して大丈夫です。,今日は守るほうを優先してみてください。,Poor sleep can make your inner world feel narrow.,On days like that remember your exhaustion before judging yourself.,Today it is okay to focus on protecting your energy.
94,overthinking,mid,low,any,眠れなかったあとは考えが多くなりやすいことがあります。,頭が散らかる日は全部を整理しようとしなくて大丈夫です。,今日は小さなことをひとつずつで十分です。,After poor sleep your thoughts may multiply easily.,On scattered days you do not need to sort everything out.,One small thing at a time is enough today.
95,rest,any,low,any,回復が追いついていない感じが残る日は少しゆるく過ごしたほうが合うことがあります。,いつもと同じ形を求めなくて大丈夫です。,今日は消耗を減らせたら十分です。,Some days you may still feel not fully restored.,You do not need the same form as usual today.,Reducing strain a little is enough.
96,anxiety,low,low,any,寝不足の日は先のことまで悪く見えやすくなります。,そんな日は未来を全部考えなくても大丈夫です。,今日は今日の終わりまでを静かに過ごせたら十分です。,After too little sleep the future can look worse than usual.,On those days you do not need to think through all of it.,Getting gently to the end of today is enough.
97,fatigue,mid,low,any,睡眠が足りない日は動き出す前から疲れがあることがあります。,その状態で過ごしているだけでも負荷は小さくありません。,今日は基準をやさしくして大丈夫です。,When sleep is short you may feel tired before you even begin.,Living inside that state already carries effort.,A softer standard is okay today.
98,rest,any,low,any,眠りが浅い日は小さなことでも重く感じることがあります。,そういう日は無理に元気な形に合わせなくて大丈夫です。,今日は少し小さく過ごすほうで十分です。,On light sleep days even small things may feel heavy.,You do not need to force yourself into an energetic shape.,It is enough to keep today smaller.
99,pressure,mid,low,any,寝不足なのに急ぎ続けると心と身体が追いつきにくくなります。,少し立ち止まる時間があるほうが整いやすい日もあります。,今日は余白を残して大丈夫です。,Rushing while tired can leave mind and body behind.,Some days go better when a little pause is allowed.,It is okay to leave room in today.
100,rest,any,low,any,眠れなかった日は休みながら進む形でも十分です。,止まりながらでも流れは保てることがあります。,今日は小さな休みを悪く思わなくて大丈夫です。,After poor sleep moving with pauses can still be enough.,A rhythm can still hold even when it includes stops.,You do not need to feel bad about resting today.
101,fatigue,low,low,any,寝不足の日は自分への評価まで低くなりやすいです。,でも動きにくさは怠けではなく身体の反応かもしれません。,今日は責めずに過ごせたら十分です。,Low sleep can lower how you see yourself too.,But difficulty moving may be your body responding not laziness.,It is enough if today passes without extra blame.
102,rest,mid,low,any,睡眠が足りない日は小さな回復を重ねるほうが合うことがあります。,一気に整わなくても大丈夫です。,今日は少し楽なほうを選べたら十分です。,After little sleep small bits of recovery may fit better.,You do not need to recover all at once.,Choosing what feels a little easier today is enough.
